CVE-2019-0611,N/A,Affected product not in use
CVE-2019-0821,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4489878
Security Only:4489885
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4489881
Security Only:4489883
"
CVE-2019-0808,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4489878
Security Only:4489885
"
CVE-2019-0797,Windows Server 2012 R2 (Server Core installation),"Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4489881
Security Only:4489883
"
CVE-2019-0762,N/A,Affected product not in use
CVE-2019-0779,N/A,Affected product not in use
CVE-2019-0678,N/A,Affected product not in use
CVE-2019-0612,N/A,Affected product not in use
CVE-2019-0617,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4489878
Security Only:4489885
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4489881
Security Only:4489883
"
CVE-2019-0780,N/A,Affected product not in use
CVE-2019-0766,N/A,Affected product not in use
CVE-2019-0768,N/A,Affected product not in use
CVE-2019-0765,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4489878
Security Only:4489885
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4489881
Security Only:4489883
"
CVE-2019-0763,N/A,Affected product not in use
CVE-2019-0746,N/A,Affected product not in use
CVE-2019-0618,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4486563
Security Only:4486564
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4487000
Security Only:4487028
"
CVE-2019-0598,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4486563
Security Only:4486564
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4487000
Security Only:4487028
"
CVE-2019-0671,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4493472
Security Only:4493448
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4493446
Security Only:4493467
"
CVE-2019-0597,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4486563
Security Only:4486564
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4487000
Security Only:4487028
"
CVE-2019-0673,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4493472
Security Only:4493448
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4493446
Security Only:4493467
"
CVE-2019-0599,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4486563
Security Only:4486564
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4487000
Security Only:4487028
"
CVE-2019-0662,Windows Server 2012 R2 (Server Core installation),"Windows 7 for 32-bit Systems Service Pack 1
Monthly Rollup:4486563
Security Only:4486564
Windows Server 2012 R2 (Server Core installation)
Monthly Rollup:4487000
Security Only:4487028
"
CVE-2019-0672,N/A,Affected product not in use
